,Unnamed: 0,budget,popularity,encoded_rate,new spoken_languages,new cast,new production_companies,new production_countries,new crew,new genres,new keywords,revenue,runtime,vote_count
1230,1230,25000000,8.178203,1,1,1,1,1,1894.4285714285716,5,3,48063435,108.0,138
1231,1231,40000000,31.066874,2,1,5,3,1,592.8,1,2,55247881,129.0,708
1232,1232,40000000,22.491388,1,2,1,2,1,6300.416666666666,3,0,58785180,102.0,412
1233,1233,40000000,12.885985,1,1,2,2,1,9216.849161351289,1,2,46442528,117.0,186
1234,1234,40000000,7.832337,1,1,1,3,2,351.5,3,1,30199105,117.0,135
1235,1235,40000000,10.433667,2,1,0,3,1,14788.196778711485,2,3,31670620,135.0,155
1236,1236,40000000,3.321949,1,1,0,2,1,8463.073055555556,4,1,0,107.0,71
1237,1237,75000000,4.842626,1,1,0,1,1,167.75,1,1,29000000,90.0,45
1238,1238,40000000,13.210898,1,1,2,1,1,2373.614285714286,3,3,49627779,96.0,147
1239,1239,40000000,3.296933,1,2,0,0,4,7381.516666666666,3,0,27053815,104.0,56
1240,1240,35000000,22.939557,1,1,1,5,2,6773.812457912458,1,2,0,115.0,477
1241,1241,40000000,19.372805,1,1,2,1,1,4008.3777777777777,2,0,65754228,119.0,278
1242,1242,40000000,13.445697,1,2,0,3,1,8133.09053030303,1,1,62771059,99.0,205
1243,1243,500000,17.002095999999998,2,2,1,0,1,4007.8045977011493,2,1,3000000,110.0,345
1244,1244,40000000,4.516953,1,2,2,2,2,881.2666666666667,2,2,24332324,128.0,81
1245,1245,40000000,33.785969,1,2,0,4,1,21184.54472934473,4,0,60965854,108.0,824
1246,1246,40000000,16.059442999999998,2,1,3,1,1,2946.195238095238,5,0,38172500,86.0,190
1247,1247,40000000,3.4769660000000004,1,1,2,2,1,270.3333333333333,3,1,22433915,108.0,92
1248,1248,0,5.778724,1,1,1,1,1,4541.046821152703,2,0,0,128.0,48
1249,1249,40000000,7.360792999999998,1,1,0,3,2,15665.828665194453,1,2,46546197,84.0,119
